番号,223,
名前,丽塔,
呼び名,丽塔,

基礎,0,2300
基礎,1,2300

CFLAG,0,1
CFLAG,2,23
CFLAG,9,2
CFLAG,11,23
CFLAG,12,23
CFLAG,13,23
CFLAG,14,23
CFLAG,16,-1
CFLAG,41,202
CFLAG,45,0
CFLAG,46,-1
CFLAG,151,-223
CFLAG,420,1
CFLAG,451,18
CFLAG,452,18

CFLAG,453,1487.0
CFLAG,454,370.0
CFLAG,455,753.0
CFLAG,456,550.0
CFLAG,457,757.0

CFLAG,550,822045

素質,0;处女
素質,26;悲观的
素質,42;容易湿
素質,52;擅用舌头
素質,100;娇小
素質,109;贫乳
素質,208;弓手
素質,212;魔物使
素質,252;先制

素質,300,4;头发颜色
素質,301,4;头发状态
素質,302,223;头发长度
素質,303,4;头发修剪方式
素質,304,10;发型
素質,305,2;目
素質,306,5;瞳色
素質,307,3;唇
素質,308,23;体型
素質,309,3;乳头
素質,310,90;阴毛状态
素質,311,90;阴毛生长极限
素質,312,17;魅力点
素質,313,22;癖
素質,314,0;种族
素質,315,15;商人
素質,316,10;赎罪
素質,317,1;甜食

ABL,0,5
ABL,10,5
ABL,31,4

EXP,10,2230

CSTR,31,我,;第一人称

相性,777,1000
