番号,777,
名前,卡拉,
呼び名,卡拉,

基礎,0,3700
基礎,1,3700

CFLAG,0,2
CFLAG,2,77
CFLAG,9,7
CFLAG,11,77
CFLAG,12,77
CFLAG,13,77
CFLAG,14,77
CFLAG,16,-1
CFLAG,41,26
CFLAG,45,0
CFLAG,46,-1
CFLAG,151,-777
CFLAG,420,1
CFLAG,451,18
CFLAG,452,18

CFLAG,453,1640.0
CFLAG,454,575.0
CFLAG,455,851.0
CFLAG,456,645.0
CFLAG,457,918.0

CFLAG,550,577042

素質,0;处女
素質,1;童贞
素質,14;文静
素質,25;乐观的
素質,52;擅用舌头
素質,74;自慰狂
素質,113;魅力
素質,121;扶她
素質,245;恶魔翅膀
素質,246;恶魔尾巴
素質,247;恶魔眼睛
素質,254;魔之刻印
素質,290;担保人
素質,481;诱惑

素質,300,3;头发颜色
素質,301,1;头发状态
素質,302,223;头发长度
素質,303,1;头发修剪方式
素質,304,3;发型
素質,305,6;目
素質,306,1;瞳色
素質,307,4;唇
素質,308,223;体型
素質,309,3;乳头
素質,310,150;阴毛状态
素質,311,150;阴毛生长极限
素質,312,26;魅力点
素質,313,22;癖
素質,314,9;种族
素質,315,93;交欢的副产品
素質,316,90;父母的嘱咐
素質,317,13;美丽的饰品
素質,318,1;巨根





相性,223,1000
